sep=,
"=""Country""","=""Number of Reactors"""
"=""Finland""","4"
"=""France""","58"
"=""Germany""","9"
"=""Hungary""","4"
"=""India""","20"
"=""Iran""","1"
"=""Japan""","50"
"=""South Korea""","23"
"=""Mexico""","2"
"=""Netherlands""","1"
"=""Pakistan""","3"
"=""Romania""","2"
"=""Russia""","33"
"=""Slovakia""","4"
"=""Slovenia""","1"
"=""South Africa""","2"
"=""Spain""","8"
"=""Sweden""","10"
"=""Switzerland""","5"
"=""Ukraine""","15"
"=""United Kingdom""","16"
"=""United States""","100"
"",""
"",""
"",""
